1.9764111042022705;5.393895626068115;19;4;18.25
1.9678692817687988;5.408970594406128;19;4;18.25
1.763314962387085;5.390336036682129;19;4;18.25
1.9568026065826416;5.392712593078613;19;4;18.25
1.9896538257598877;5.380462408065796;19;4;18.25
1.9617526531219482;5.381137132644653;19;4;18.25
1.9737739562988281;5.383493185043335;19;4;18.25
1.953603744506836;5.381818056106567;19;4;18.25
1.959853172302246;5.352233648300171;19;4;18.25
1.9642584323883057;5.456789970397949;19;4;18.25
1.9731342792510986;5.450680255889893;19;4;18.25
1.96553373336792;5.3612141609191895;19;4;18.25
1.959862470626831;5.390969514846802;19;4;18.25
1.950584888458252;5.384985685348511;19;4;18.25
1.9704556465148926;5.369126319885254;19;4;18.25
1.9645862579345703;5.377259016036987;19;4;18.25
1.948655128479004;5.396369934082031;19;4;18.25
1.967278242111206;5.389320373535156;19;4;18.25
1.9560184478759766;5.404149055480957;19;4;18.25
1.9707577228546143;5.387347459793091;19;4;18.25
